node_id	node_kind	node_sha256	verdict	source_record	rationale
BTO:0004304	external_reference	e6494db4978bc0d27d36e957ffc97c7332d292efd90ef910e28c84d4df88be59	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:10002	external_reference	c5f7fe0a97168c1e2957f842a83cc096709bbcc616260fabc26bb3ee5cee003b	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:100147	external_reference	de8136f29ee2f7fe6bdbc6ad414d478bbdcc04b4b28947a76ecd37c3b60dc5f4	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:100241	external_reference	2c6c3b44e08121568208048fc50667839304ffd3ca44aeff3dfa47bf0fc0cf97	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:100246	external_reference	80d85d230393dc3678714e9ac949d9df67d8b319eb1433261644fbbafd0e3b39	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:10033	external_reference	0aa03887cddb6a7614b7bb218bbd60aa472fd6b0bca1456d584265f504211d39	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:10073	external_reference	0980ef9a99ca0c768221494bc570a3dcdcd67454993f267a32748c2e2e39c5bf	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:10100	external_reference	3a0258d813b4ae91dcc29390ee5de5074012483041a89ab077548ae580bccf4f	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:102130	external_reference	1d232cc656699a39f8b448451e48ee50dbd778d8502ad4ee090302f4936761f1	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:102265	external_reference	d5603fbdeac153e01d75d3b96ab2f5d249c2309a103d03dd62340a1ef0b90d42	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:102484	external_reference	e82058f8a328aded24634f1ca53c5912a3ba24bfd88df6712e1a906ed45d092b	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
CHEBI:10352	external_reference	25dc9225a6d9fd5008abf66d81b8a360b33d55f938caba9e99e8cedfb216f4e8	reference_only		MIM-supplied reference and labels, without a fresh authority identity/category claim; associated assertions have separate review dispositions.
