edge_id	subject	predicate	object	assertion_type	assertion_sha256	source_record	record_sha256	verdict	rationale	review_report
MIM.assertion:000f07b09299dcdbc424fabf864140620551ab8ea157151fa0b8791fb9b6952c	MIM:MES_Buffer	biolink:subclass_of	CHEBI:39010	mapping	93c582c2041180237771ebba4f43577d4df1eb055930a6b34bd71be968260492	data/ingredients/mapped/MES_Buffer.yaml	74ddfe25a63c479e3d2880b2117f91b9a876a980e9b3bb55a49484629d1ae370	pass	Source assertion unchanged; existing record review applies.	reports/yaml_record_review/MES_Buffer.md
MIM.assertion:00152fb85e9ecbd884813a91bc12c21d76585d551a9539f7e2f13d67a9eb61d7	MIM:UW_Concentrated_Base	biolink:has_chemical_role	MIM.role:NutritionalRoleEnum.MINERAL_SOURCE	nutritional_roles	6dea098861a7d900217c6d2baef7f62be426f6a64878f68971657dd29201bd8d	data/ingredients/mapped/UW_Concentrated_Base.yaml	b455758691d8f1ec6e5c6303502ed582461925a43b211ee5eb12eaa0590f3931	pass	Source assertion unchanged; existing record review applies.	reports/yaml_record_review/UW_Concentrated_Base.md
MIM.assertion:002fd7486cbf5548a9d3caa747dd778aa985dcfa6462bd05d6f82a223cda4698	MIM:Pactamycin	biolink:exact_match	mesh:D010142	mapping	e4e46eb8fb9824afb481601a99cf14f365a50093db8af130c1870d38398dc776	data/ingredients/mapped/Pactamycin.yaml	8c7b1a30c72b7edc30cc0e3cbd86ce2ba03d294e2d566c328f2a2be8a3b70afb	blocked_by_record_findings	Source assertion unchanged; existing record review applies.	reports/yaml_record_review/Pactamycin.md
MIM.assertion:00422b850aaeb3d054ceb6fe490e7db98a915d425555e3887aecde6501b13fd6	MIM:Curdlan	biolink:subclass_of	mesh:C038459	mapping	9cf371ee61323750f3a1499a3981abeb277ccb52bcc16e1cd474c8c058383323	data/ingredients/mapped/Curdlan.yaml	f6d77336e6292bbc92b12127ea94db3d43089a0b195e6da3893e3ccab4edbbd0	blocked_by_record_findings	Source assertion unchanged; existing record review applies.	reports/yaml_record_review/Curdlan.md
MIM.assertion:0043b0cc6b58b71074fe0169c7a60db2f53ffd5834626f21ad9ce93af3bddb06	MIM:L-Meta-tyrosine	biolink:exact_match	cas:587-33-7	mapping	c2e79d5ec8b9e0b9711a8c4b6968b9e975c1a7a346e7587ca1b8e8a87abf5a72	data/ingredients/mapped/L-Meta-tyrosine.yaml	ab26d48b70bfe307aa0d9df36bfbe31cc5b7bbf0fb84bba9e24ce3ddefb02df2	pass	Source assertion unchanged; existing record review applies.	reports/yaml_record_review/L-Meta-tyrosine.md
MIM.assertion:004c9f7f77852da2676bb9a515595ab56d838ee31c9275da9402e4ce9cc5c016	MIM:Apramycin_Sulfate_Salt	biolink:exact_match	cas:65710-07-8	mapping	0da6cb10a18c0bea391f20f808bf22c1b86f2c3a907126a6fce7daa0b85fd3cd	data/ingredients/mapped/Apramycin_Sulfate_Salt.yaml	33fd1bd6dd4db120ea6c8aa324092637da23d0503ddb7d5f45b4d3f827dc3bcb	blocked_by_record_findings	Source assertion unchanged; existing record review applies.	reports/yaml_record_review/Apramycin_Sulfate_Salt.md
MIM.assertion:0063c9d56bbee69e17185f342484450e160889aa0c6506c4986de0c25a9573d8	MIM:Chloramphenicol	biolink:exact_match	CHEBI:17698	mapping	8773ea733134b01c1a1b4566f0aba576bcaca65051e5503475b5da37e2441497	data/ingredients/mapped/Chloramphenicol.yaml	f3ec216ebcf3427e177a988d2c4461a3cf1275a8ed9d73c756aa530039844c6c	blocked_by_record_findings	Source assertion unchanged; existing record review applies.	reports/yaml_record_review/Chloramphenicol.md
MIM.assertion:00648270e04d7dc30a3970b70dedccba73bd9f94dcae949caac3a35bf0be00da	MIM:23-dihydroxybenzoic_Acid	biolink:has_chemical_role	MIM.role:NutritionalRoleEnum.CARBON_SOURCE	nutritional_roles	e59eee7cf5387857dcf375c761bc4588088393fe88064c16b7be945209733418	data/ingredients/mapped/23-dihydroxybenzoic_Acid.yaml	a9833424856648828345709109550cf6be56264e00acd352a19ad620dc29a401	insufficient_evidence	Only explicitly provisional computational evidence is supplied; not an independently supported role claim.	reports/yaml_record_review/23-dihydroxybenzoic_Acid.md
MIM.assertion:006a581726e645b0e1fb74fefc244bca02f9b7566d303a7b60d10fd55e6f91c9	MIM:Sodium_Adipate	biolink:subclass_of	FOODON:03413240	mapping	36035d99a2438db1a4bc3c481d2d82514de6a292724260f2b638bd382d36b006	data/ingredients/mapped/Sodium_Adipate.yaml	0fa341283044d05b8d0e2d990101d3503100e4b7e92d709d3322afd310c99eae	pass	Source assertion unchanged; existing record review applies.	reports/yaml_record_review/Sodium_Adipate.md
MIM.assertion:006af83ac2def903699d3a55063deffb07c4855b3360707c741d4c6ec462214d	MIM:Lacto-N-fucopentaose_III	biolink:exact_match	cas:25541-09-7	mapping	e3f8a5abf194ffa5d0f1465b43557897a245cffb9fafaf7569b9962441ac4319	data/ingredients/mapped/Lacto-N-fucopentaose_III.yaml	c3a89f74a8dde4dc6e0d507051dce6a79a03ed2a4b8483fe6f7ff9aa576dcba9	blocked_by_record_findings	Source assertion unchanged; existing record review applies.	reports/yaml_record_review/Lacto-N-fucopentaose_III.md
