finding_id	source_record	record_scope	kind	severity	affected_unit	disposition	reason	evidence	current_record	current_record_sha256	resolution_status	resolution_reason	resolution_evidence
SEM:0e49eb925791f642813d	data/ingredients/mapped/(-)-anisomycin.yaml	active	existing_record_review	minor	data/ingredients/mapped/(-)-anisomycin.yaml	open	Record identity and synchronized products pass; stale record_research_validation rows should be cleared if that TSV is a live queue.	reports/yaml_record_review/(-)-anisomycin.md	data/ingredients/mapped/(-)-anisomycin.yaml	1d17b747ec926d550c6ea98666bcb3cf10a1e575dcfc837f9d94396d561b904a	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:7e36d71b348836ecccec	data/ingredients/mapped/(-)-quinic_Acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/(-)-quinic_Acid.yaml	open	Record identity and synchronized products pass; stale record_research_validation rows should be cleared if that TSV is a live queue.	reports/yaml_record_review/(-)-quinic_Acid.md	data/ingredients/mapped/(-)-quinic_Acid.yaml	9c9368ef44de08cbd59138916d2a120db321b5bddd69b8610a66f140d0d3898a	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:cd74f8ddafa04d7e9a9a	data/ingredients/mapped/(2)-D-lyxose.yaml	active	existing_record_review	major	data/ingredients/mapped/(2)-D-lyxose.yaml	open	Active identity passes, but source_occurrences appears to omit the direct microbedecoder D-lyxose row with count 159.	reports/yaml_record_review/(2)-D-lyxose.md	data/ingredients/mapped/(2)-D-lyxose.yaml	62258c9bdabaf8728fafb6923345fe4b24b9956069113896acb16e9631c1451e	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:c4aa94f8cc2420c04b3c	data/ingredients/mapped/(R)-amygdalin.yaml	active	existing_record_review	minor	data/ingredients/mapped/(R)-amygdalin.yaml	open	Record identity and synchronized products pass; curation timestamp/reporting nits remain.	reports/yaml_record_review/(R)-amygdalin.md	data/ingredients/mapped/(R)-amygdalin.yaml	9f6e3cb70cbde2c2f3d0352b23bde746980d76be60857207d9447016a3d9f574	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:c34d7b8854b455ca38bf	data/ingredients/mapped/(R)-lactate.yaml	active	existing_record_review	major	data/ingredients/mapped/(R)-lactate.yaml	open	Active identity passes, but source_occurrences appears to omit the absorbed D-lactate row with count 17.	reports/yaml_record_review/(R)-lactate.md	data/ingredients/mapped/(R)-lactate.yaml	5ecdb54c8474811127e8bb01b8d7753004065329b1574864c8140d635c6ae93d	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:b1740e477e1ac6c163b4	data/ingredients/mapped/(R)-malic_Acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/(R)-malic_Acid.yaml	open	Record identity and synchronized products pass; optional CAS/synonym and stale validation rows remain.	reports/yaml_record_review/(R)-malic_Acid.md	data/ingredients/mapped/(R)-malic_Acid.yaml	0a7229be6c0bd446df2b2130a644881be47e2a021194b732e1855e5703270f89	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:eb55833288c00d2fd411	data/ingredients/mapped/(S)-azetidine-2-carboxylic_Acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/(S)-azetidine-2-carboxylic_Acid.yaml	open	Record identity and synchronized products pass; optional CAS/synonym and stale validation rows remain.	reports/yaml_record_review/(S)-azetidine-2-carboxylic_Acid.md	data/ingredients/mapped/(S)-azetidine-2-carboxylic_Acid.yaml	8e26520c847b822c596a5cc3bf6206fac862adf5a1e2b4b2ed3d6d80ebdab792	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:0252332dafddeea4d62a	data/ingredients/mapped/(S)-mandelic_Acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/(S)-mandelic_Acid.yaml	open	Record identity and synchronized products pass; stale validation rows remain.	reports/yaml_record_review/(S)-mandelic_Acid.md	data/ingredients/mapped/(S)-mandelic_Acid.yaml	23414e994a265c4df0b025da1907547eebd137cbd4102e0b9e99035ffb2c70af	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:2aea231c7d6192be09fe	data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	active	existing_record_review	major	data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	open	Minted stock-solution identity is synchronized, but pure-compound synonyms, chemistry, ingredient_type, and kg_microbe_node_id remain stale.	reports/yaml_record_review/02_Thiamine_Pyrophosphate.md	data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	7eece9fb547e213646a2313b9f9bb8f5988f0d13e08d53b2255a33b43f8a659f	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:6560d5e8cbc982dcbd1d	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	active	existing_record_review	blocker	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	open	0.5 M disodium stock label is exactly mapped to a trisodium ChEBI salt and publishes trisodium synonyms/chemistry.	reports/yaml_record_review/05_M_Nitrilotriacetic_Acid_Disodium_Salt.md	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	91eae6a773cf1630a143147a314e29f37f430a33f885e0340d08978cb58ea74f	RESOLVED	Separate the 0.5 M disodium stock from trisodium nitrilotriacetate. Source occurrence rows explicitly name one of each. Restore the trisodium substance as its own record, carrying its chemistry and valid synonyms; withdraw those synonyms on the stock. The stock is a local preparation with a named disodium solute, no pure-substance formula or CAS. Solvent and complete recipe are not established.	reports/semantic_review_20260921/corrections/identity-plan.json
