ingredient_name	rejected_id	mim_id	reason
Trypticase	CHEBI:78018	MICRO:0000175	Detergent identity rejected by data/ingredients/mapped/Trypticase.yaml curation_history (2026-04-17); current identity refined to MICRO on 2026-06-03.
Bacto-tryptone	CHEBI:78018	MICRO:0000182	Detergent identity rejected by data/ingredients/mapped/Bacto-tryptone.yaml curation_history (2026-04-17); current identity refined to MICRO on 2026-05-02.
0.5 M Nitrilotriacetic acid, disodium salt	CHEBI:132766	kgmicrobe.ingredient:05_m_nitrilotriacetic_acid_disodium_salt	Separate the 0.5 M disodium stock from trisodium nitrilotriacetate. Source occurrence rows explicitly name one of each. Restore the trisodium substance as its own record, carrying its chemistry and valid synonyms; withdraw those synonyms on the stock. The stock is a local preparation with a named disodium solute, no pure-substance formula or CAS. Solvent and complete recipe are not established. See reports/semantic_review_20260921/corrections/identity-plan.json.
2-Keto-D-gluconic acid hemicalcium salt monohydrate	cas:3470-37-9	kgmicrobe.compound:2-keto-d-gluconic_acid_hemicalcium_salt_monohydrate	Refine the prior blocker: MP Biomedicals explicitly uses CAS 3470-37-9 for the monohydrate, while the same CAS is used for unhydrated calcium salt. Use a distinct local hydrate identity and preserve the supplier CAS as procurement metadata rather than exact global identity. Withdraw anhydrous CID/SMILES/InChI. Formula follows the certificate hemicalcium unit plus one water, doubled to whole calcium stoichiometry. Existing close match to free acid retained as reviewed in #342, not promoted to subsumption. See reports/semantic_review_20260921/corrections/identity-plan.json.
Apigenin Dimethyl Ether	CHEBI:28887	CHEBI:2769	Resolve the stated Apigenin Dimethyl Ether name to the explicit ChEBI/KEGG synonym of apigenin 7,4-prime-dimethyl ether. Correct CAS 5128-44-9 differs from imported 5728-44-9, which produced unrelated benzoic-acid chemistry. Withdraw methoxymethane CHEBI:28887 and reject its synonym; replace the wrong molecular formula, structure and CID from ChEBI and PubChem. See reports/semantic_review_20260921/corrections/identity-plan.json.
Apigenin Dimethyl Ether	cas:5728-44-9	CHEBI:2769	Resolve the stated Apigenin Dimethyl Ether name to the explicit ChEBI/KEGG synonym of apigenin 7,4-prime-dimethyl ether. Correct CAS 5128-44-9 differs from imported 5728-44-9, which produced unrelated benzoic-acid chemistry. Withdraw methoxymethane CHEBI:28887 and reject its synonym; replace the wrong molecular formula, structure and CID from ChEBI and PubChem. See reports/semantic_review_20260921/corrections/identity-plan.json.
Arabinoxylan (Rye Flour)	FOODON:03302492	kgmicrobe.ingredient:arabinoxylan_rye_flour	The named rye-derived arabinoxylan material is not rye flour FOODON:03302492. A manufacturer uses exactly this name for an arabinoxylan preparation with residual protein/ash. Retain a local material identity, without asserting procurement from that supplier, exact purity, or whole-mixture equivalence to pure polymer. See reports/semantic_review_20260921/corrections/identity-plan.json.
Artificial Sea Salt	MICRO:0001647	kgmicrobe.ingredient:artificial_sea_salt	The source is an artificial sea-salt preparation, not natural evaporated sea salt. Replace lexical MICRO:0001647 identity with a local preparation identity; no composition is invented. See reports/semantic_review_20260921/corrections/identity-plan.json.
Atrazin	cas:1924-24-9	CHEBI:15930	Merged into CHEBI:15930 (2-chloro-4ethylamino-6-isopropylamino-1,3,5-triazine). Atrazin is the atrazine name variant. Correct CAS is 1912-24-9; imported 1924-24-9 was erroneous. Survivor already has the exact atrazine ontology identity. Original fields remain only on this excluded tombstone. See reports/semantic_review_20260921/corrections/identity-plan.json.
Benzylhydrazine Hydrochloride	cas:3287-99-8	cas:1073-62-7	Curate the stated benzylhydrazine hydrochloride identity using the manufacturer certificate: CAS 1073-62-7, C7H10N2.ClH. Withdraw benzylamine hydrochloride CAS 3287-99-8, CID 2724127 and one-nitrogen structure. No unverified replacement structure or PubChem CID is asserted. See reports/semantic_review_20260921/corrections/identity-plan.json.
DL-2-Aminoadipic acid	CHEBI:37023	cas:542-32-5	Retain the explicitly DL source substance as CAS 542-32-5. Withdraw L-enantiomer CHEBI:37023 and its stereospecific synonym/structure; a racemate is not one enantiomer. CAS registry identity does not imply that a new exact ChEBI search was exhaustive. See reports/semantic_review_20260921/corrections/identity-plan.json.
EDTA (chelating agent)	NCIT:C360	CHEBI:4735	Merged into CHEBI:4735 (EDTA). The source explicitly names EDTA; the parenthetical function does not turn the substance into the generic class of chelators. Original fields remain only on this excluded tombstone. See reports/semantic_review_20260921/corrections/identity-plan.json.
NaNO	NCIT:C54713	CHEBI:63005	Merged into CHEBI:63005 (NaNO3). The source synonyms explicitly identify NaNO3, CAS 7631-99-4 and Fisher BP360-500; NCIT:C54713 denotes the nano unit prefix. NaNO retained solely as the documented truncated source label. Original fields remain only on this excluded tombstone. See reports/semantic_review_20260921/corrections/identity-plan.json.
Sodium phosphate dibasic	CHEBI:37583	CHEBI:34683	Merged into CHEBI:34683 (Na2HPO4). Dibasic sodium phosphate is disodium hydrogenphosphate, not trisodium phosphate. Sodium dihydrogen phosphate is monobasic and is a REJECTED_LABEL here; its 78 recipe rows are excluded from this transfer. Original fields remain only on this excluded tombstone. See reports/semantic_review_20260921/corrections/identity-plan.json.
Sodium dihydrogen phosphate	CHEBI:37583	CHEBI:37585	Recover the explicit Sodium dihydrogen phosphate source label for monobasic phosphate CHEBI:37585. It was incorrectly published as a synonym of Sodium phosphate dibasic. Recount this record by distinct recipe membership, routing only this exact source label away from the rejected CHEBI:37583 assignment. https://www.ebi.ac.uk/chebi/CHEBI:37585
